Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape.norovirus	kappa.norovirus	ucldMean.norovirus	ucldStdev.norovirus	rate.norovirus.mean	rate.norovirus.variance	rate.norovirus.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
22500000	-1.970722274847E4	-1.789143493621E4	-1.815787812263E3	-1.761851799146E4	1.131358459506E1	2.77849211152E-1	1.911670237424E1	6.675359199362E-3	5.710987564579E-1	6.46163796825E-3	1.592604060817E-5	6.037613194423E-1	-1.776235713304E3	9.49237099032E0	3.639660326023E1	3.208856786914E1	1.269957087705E1	4.593733173714E0	35	120	131	133	23
23000000	-1.971514409444E4	-1.78614437058E4	-1.85370038864E3	-1.759036881196E4	1.067578165058E1	2.303922832313E-1	1.984963350578E1	6.131957073976E-3	5.955180586158E-1	6.173450628722E-3	1.341409290932E-5	5.873850045893E-1	-1.812544575577E3	1.283035803212E1	2.728800168266E1	4.918019319715E1	1.6141330964E1	8.641465999038E0	31	185	69	131	26
23500000	-1.966832346645E4	-1.784630949268E4	-1.822013973769E3	-1.758174437507E4	1.093000598888E1	2.606194881601E-1	2.242469122328E1	6.37282575288E-3	6.98807285145E-1	6.299221733943E-3	2.628694200223E-5	7.724306584994E-1	-1.779269117198E3	1.189802442691E1	3.206223215024E1	1.156327783451E1	1.26117681262E1	4.245331458721E0	47	249	70	62	14
24000000	-1.964685412709E4	-1.78448613588E4	-1.801992768288E3	-1.757982032381E4	9.623024200733E0	2.556155566246E-1	2.029778034611E1	6.914810516273E-3	6.527539156116E-1	6.402186586203E-3	2.226248629944E-5	6.960714133353E-1	-1.758765744873E3	1.003248155974E1	1.692907790158E1	3.199153679596E1	1.489732329981E1	2.076914739446E0	9	34	237	139	23
24500000	-1.968418852836E4	-1.785643545967E4	-1.827753068699E3	-1.759463406206E4	1.541066427078E1	2.897507501351E-1	2.127071496791E1	6.294454519618E-3	6.355274071301E-1	5.781769924829E-3	1.710976294251E-5	6.60915885703E-1	-1.790268303882E3	1.749183465815E1	2.350673454929E1	3.419692196975E1	1.646951932416E1	5.386240271067E0	27	5	230	149	31
25000000	-1.969440982983E4	-1.787623648381E4	-1.818173346027E3	-1.76033717827E4	1.050791130661E1	2.591692137774E-1	1.98411805091E1	6.526734737934E-3	6.156654410789E-1	6.462001568541E-3	1.996510910147E-5	6.994714221936E-1	-1.775502557836E3	1.388756861278E1	2.598805102802E1	3.372190387695E1	1.343949453359E1	4.208753429361E0	18	113	179	99	33
25500000	-1.967375676642E4	-1.787160777473E4	-1.802148991697E3	-1.760153130736E4	1.041653598362E1	2.75483788531E-1	2.143622858655E1	6.530351871186E-3	5.406444439797E-1	6.644595599433E-3	1.348965198459E-5	5.565565576545E-1	-1.759409879278E3	1.125765893478E1	2.162539854481E1	3.003756953626E1	1.126427751563E1	2.850587318461E0	23	32	258	113	16
26000000	-1.969071574678E4	-1.784889822406E4	-1.841817522719E3	-1.756756445833E4	1.242275439607E1	2.52334246407E-1	1.993203277036E1	6.638123319149E-3	6.148297481189E-1	6.211246972702E-3	1.726507311398E-5	6.541689938573E-1	-1.798397655239E3	1.24619373403E1	2.755421100495E1	2.964944899674E1	1.208567813065E1	3.379279390862E0	23	15	286	113	5
26500000	-1.974163541966E4	-1.79010240851E4	-1.840611334563E3	-1.762853467575E4	1.064055977934E1	2.862390254149E-1	2.457159166369E1	6.119760468692E-3	5.768779526281E-1	6.168577699141E-3	1.314490691829E-5	5.882554822398E-1	-1.806566728251E3	1.092487061686E1	1.039538698516E1	3.290538197172E1	1.421319576148E1	5.142873321813E0	39	3	258	128	14
27000000	-1.966515206431E4	-1.783580180301E4	-1.829350261295E3	-1.756336840998E4	1.206676112607E1	2.650370352126E-1	2.022499600381E1	6.602494454936E-3	6.657277354559E-1	6.184013318163E-3	2.040968458447E-5	6.95806933631E-1	-1.781871321551E3	8.161391474792E0	4.073012414714E0	2.946263743895E1	1.251485678836E1	6.133310344487E0	29	6	256	121	30
